PERCY, CHARLES, 97 98, S, IL, M
BORDALLO, MADELEINE, 108 109 110 111 112 113 114, H, GU, F
MICHAUD, MICHAEL, 108 109 110 111 112 113, H, ME, M
HARRIS, KATHERINE, 108 109, H, FL, F
MARSHALL, JAMES, 108 109 110 111, H, GA, M
FEENEY, TOM, 108 109 110, H, FL, M
PORTER, JON, 108 109 110, H, NV, M
BEAUPREZ, BOB, 108 109, H, CO, M
CORNYN, JOHN, 108 109 110 111 112 113 114, S, TX, M
BRADLEY, JEB, 108 109, H, NH, M
BLACKBURN, MARSHA, 108 109 110 111 112 113 114, H, TN, F
GARRETT, SCOTT, 108 109 110 111 112 113 114, H, NJ, M
GINGREY, PHIL, 108 109 110 111 112 113, H, GA, M
CHOCOLA, CHRIS, 108 109, H, IN, M
HENSARLING, JEB, 108 109 110 111 112 113 114, H, TX, M
BURGESS, MICHAEL, 108 109 110 111 112 113 114, H, TX, M
KLINE, JOHN, 108 109 110 111 112 113 114, H, MN, M
CARTER, JOHN, 108 109 110 111 112 113 114, H, TX, M
FRANKS, TRENT, 108 109 110 111 112 113 114, H, AZ, M
MCCOTTER, THADDEUS, 108 109 110 111 112, H, MI, M
BALLANCE, FRANK, 108, H, NC, M
EMANUEL, RAHM, 108 109 110, H, IL, M
BARRETT, JAMES, 108 109 110 111, H, SC, M
RENZI, RICK, 108 109 110, H, AZ, M
COLE, TOM, 108 109 110 111 112 113 114, H, OK, M
MAJETTE, DENISE, 108, H, GA, F
PRYOR, MARK, 108 109 110 111 112 113, S, AR, M
CARDOZA, DENNIS, 108 109 110 111 112, H, CA, M
GRIJALVA, RAUL, 108 109 110 111 112 113 114, H, AZ, M
GERLACH, JIM, 108 109 110 111 112 113, H, PA, M
SHUSTER, BILL, 108 109 110 111 112 113 114, H, PA, M
BONNER, JO, 108 109 110 111 112 113, H, AL, M
PEARCE, STEVAN, 108 109 110 112 113 114, H, NM, M
JANKLOW, WILLIAM, 108, H, SD, M
NEUGEBAUER, RANDY, 108 109 110 111 112 113 114, H, TX, M
NUNES, DEVIN, 108 109 110 111 112 113 114, H, CA, M
CHANDLER, BEN, 108 109 110 111 112, H, KY, M
BUTTERFIELD, GEORGE, 108 109 110 111 112 113 114, H, NC, M
DIAZ-BALART, MARIO, 108 109 110 111 112 113 114, H, FL, M
SANCHEZ, LINDA, 108 109 110 111 112 113 114, H, CA, F
BURNS, MAX, 108, H, GA, M
ALEXANDER, RODNEY, 108 109 110 111 112, H, LA, M
ALEXANDER, LAMAR, 108 109 110 111 112 113 114, S, TN, M
MILLER, CANDICE, 108 109 110 111 112 113 114, H, MI, F
KING, STEVE, 108 109 110 111 112 113 114, H, IA, M
BISHOP, TIMOTHY, 108 109 110 111 112 113, H, NY, M
SCOTT, DAVID, 108 109 110 111 112 113 114, H, GA, M
RYAN, TIM, 108 109 110 111 112 113 114, H, OH, M
DAVIS, LINCOLN, 108 109 110 111, H, TN, M
DAVIS, ARTUR, 108 109 110 111, H, AL, M
MILLER, R., 108 109 110 111 112, H, NC, M
TURNER, MICHAEL, 108 109 110 111 112 113 114, H, OH, M
BISHOP, ROB, 108 109 110 111 112 113 114, H, UT, M
BONO MACK, MARY, 108 109 110, H, CA, F
WU, DAVID, 108 109 110 112, H, OR, M
FORTENBERRY, JEFF, 109 110 111 112 113 114, H, NE, M
OBAMA, BARACK, 109 110, S, IL, M
DRAKE, THELMA, 109 110, H, VA, F
JINDAL, BOBBY, 109 110, H, LA, M
CONAWAY, K., 109 110 111 112 113 114, H, TX, M
CUELLAR, HENRY, 109 110 111 112 113 114, H, TX, M
SCHWARTZ, ALLYSON, 109 110 111 112 113, H, PA, F
WASSERMAN SCHULTZ, DEBBIE, 109 110 111 112 113 114, H, FL, F
HIGGINS, BRIAN, 109 110 111 112 113 114, H, NY, M
GOHMERT, LOUIE, 109 110 111 112 113 114, H, TX, M
FOXX, VIRGINIA, 109 110 111 112 113 114, H, NC, F
LIPINSKI, DANIEL, 109 110 111 112 113 114, H, IL, M
BARROW, JOHN, 109 110 111 112 113, H, GA, M
BOUSTANY, CHARLES, 109 110 111 112 113 114, H, LA, M
SODREL, MICHAEL, 109, H, IN, M
DENT, CHARLES, 109 110 111 112 113 114, H, PA, M
MCCAUL, MICHAEL, 109 110 111 112 113 114, H, TX, M
POE, TED, 109 110 111 112 113 114, H, TX, M
CARNAHAN, RUSS, 109 110 111 112, H, MO, M
MARTINEZ, MEL, 109 110 111, S, FL, M
MCHENRY, PATRICK, 109 110 111 112 113 114, H, NC, M
FITZPATRICK, MICHAEL, 109 112 113 114, H, PA, M
CLEAVER, EMANUEL, 109 110 111 112 113 114, H, MO, M
WESTMORELAND, LYNN, 109 110 111 112 113 114, H, GA, M
HERSETH SANDLIN, STEPHANIE, 109 110 111, H, SD, F
REICHERT, DAVID, 109 110 111 112 113 114, H, WA, M
BEAN, MELISSA, 109 110 111, H, IL, F
KUHL, JOHN, 109 110, H, NY, M
MELANCON, CHARLES, 109 110 111, H, LA, M
FORTUNO, LUIS, 109 110, H, PR, M
VAN HOLLEN, CHRIS, 109 110 111 112 113 114, H, MD, M
COSTA, JIM, 109 110 111 112 113 114, H, CA, M
MATSUI, DORIS, 109 110 111 112 113 114, H, CA, F
MARCHANT, KENNY, 109 110 111 112 113 114, H, TX, M
SCHWARZ, JOHN, 109, H, MI, M
MCMORRIS RODGERS, CATHY, 109 110 111 112 113 114, H, WA, F
BOREN, DAN, 109 110 111 112, H, OK, M
CAMPBELL, JOHN, 109 110 111 112 113, H, CA, M
SCHMIDT, JEAN, 109 110 111 112, H, OH, F
SIRES, ALBIO, 109 110 111 112 113 114, H, NJ, M
GREEN, AL, 109 110 111 112 113 114, H, TX, M
SALAZAR, KEN, 109 110 111, S, CO, M
SALAZAR, JOHN, 109 110 111, H, CO, M
MOORE, GWEN, 109 110 111 112 113 114, H, WI, F
PRICE, TOM, 109 110 111 112 113 114, H, GA, M
DAVIS, GEOFF, 109 110 111 112, H, KY, M
WEBB, JIM, 110 111 112, S, VA, M
COHEN, STEVE, 110 111 112 113 114, H, TN, M
WELCH, PETER, 110 111 112 113 114, H, VT, M
COURTNEY, JOE, 110 111 112 113 114, H, CT, M
BRALEY, BRUCE, 110 111 112 113, H, IA, M
SHULER, HEATH, 110 111 112, H, NC, M
JORDAN, JIM, 110 111 112 113 114, H, OH, M
CASTOR, KATHY, 110 111 112 113 114, H, FL, F
ELLSWORTH, BRAD, 110 111, H, IN, M
KAGEN, STEVE, 110 111, H, WI, M
MAHONEY, TIM, 110, H, FL, M
TESTER, JON, 110 111 112 113 114, S, MT, M
WALBERG, TIM, 110 112 113 114, H, MI, M
SESTAK, JOE, 110 111, H, PA, M
GILLIBRAND, KIRSTEN, 110 111 112 113 114, H, NY, F
CLARKE, YVETTE, 110 111 112 113 114, H, NY, F
MCNERNEY, JERRY, 110 111 112 113 114, H, CA, M
DONNELLY, JOE, 110 111 112 113 114, H, IN, M
WHITEHOUSE, SHELDON, 110 111 112 113 114, S, RI, M
SARBANES, JOHN, 110 111 112 113 114, H, MD, M
ELLISON, KEITH, 110 111 112 113 114, H, MN, M
LOEBSACK, DAVID, 110 111 112 113 114, H, IA, M
SHEA-PORTER, CAROL, 110 111 113, H, NH, F
CARNEY, CHRISTOPHER, 110 111, H, PA, M
YARMUTH, JOHN, 110 111 112 113 114, H, KY, M
ARCURI, MICHAEL, 110 111, H, NY, M
SUTTON, BETTY, 110 111 112, H, OH, F
BILIRAKIS, GUS, 110 111 112 113 114, H, FL, M
FALLIN, MARY, 110 111, H, OK, F
HARE, PHIL, 110 111, H, IL, M
SALI, BILL, 110, H, ID, M
ALTMIRE, JASON, 110 111 112, H, PA, M
PERLMUTTER, ED, 110 111 112 113 114, H, CO, M
SPACE, ZACHARY, 110 111, H, OH, M
KLEIN, RON, 110 111, H, FL, M
MITCHELL, HARRY, 110 111, H, AZ, M
KLOBUCHAR, AMY, 110 111 112 113 114, S, MN, F
CASEY, ROBERT, 110 111 112 113 114, S, PA, M
HIRONO, MAZIE, 110 111 112 113 114, H, HI, F
LAMBORN, DOUG, 110 111 112 113 114, H, CO, M
GIFFORDS, GABRIELLE, 110 111 112, H, AZ, F
MCCASKILL, CLAIRE, 110 111 112 113 114, S, MO, F
WALZ, TIMOTHY, 110 111 112 113 114, H, MN, M
HODES, PAUL, 110 111, H, NH, M
BACHMANN, MICHELE, 110 111 112 113, H, MN, F
BOYDA, NANCY, 110, H, KS, F
ROSKAM, PETER, 110 111 112 113 114, H, IL, M
FOSTER, BILL, 110 111 113 114, H, IL, M
BUCHANAN, VERN, 110 111 112 113 114, H, FL, M
HELLER, DEAN, 110 111 112 113 114, H, NV, M
CORKER, BOB, 110 111 112 113 114, S, TN, M
BARRASSO, JOHN, 110 111 112 113 114, S, WY, M
BROUN, PAUL, 110 111 112 113, H, GA, M
RICHARDSON, LAURA, 110 111 112, H, CA, F
TSONGAS, NIKI, 110 111 112 113 114, H, MA, F
LATTA, ROBERT, 110 111 112 113 114, H, OH, M
WITTMAN, ROBERT, 110 111 112 113 114, H, VA, M
SPEIER, JACKIE, 110 111 112 113 114, H, CA, F
CAZAYOUX, DONALD, 110, H, LA, M
SCALISE, STEVE, 110 111 112 113 114, H, LA, M
CHILDERS, TRAVIS, 110 111, H, MS, M
FUDGE, MARCIA, 110 111 112 113 114, H, OH, F
MURPHY, PATRICK, 110 111 113 114, H, PA, M
DAVIS, DAVID, 110, H, TN, M
MCCARTHY, KEVIN, 110 111 112 113 114, H, CA, M
CARSON, ANDRE, 110 111 112 113 114, H, IN, M
EDWARDS, DONNA, 110 111 112 113 114, H, MD, F
HALL, JOHN, 110 111, H, NY, M
SMITH, ADRIAN, 110 111 112 113 114, H, NE, M
JOHNSON, HENRY, 110 111 112 113 114, H, GA, M
MURPHY, CHRISTOPHER, 110 111 112 113 114, H, CT, M
POSEY, BILL, 111 112 113 114, H, FL, M
ADLER, JOHN, 111, H, NJ, M
SHAHEEN, JEANNE, 111 112 113 114, S, NH, F
DAHLKEMPER, KATHLEEN, 111, H, PA, F
HALVORSON, DEBORAH, 111, H, IL, F
MCMAHON, MICHAEL, 111, H, NY, M
PETERS, GARY, 111 112 113 114, H, MI, M
CONNOLLY, GERALD, 111 112 113 114, H, VA, M
TITUS, DINA, 111 113 114, H, NV, F
CHAFFETZ, JASON, 111 112 113 114, H, UT, M
KILROY, MARY JO, 111, H, OH, F
PERRIELLO, THOMAS, 111, H, VA, M
POLIS, JARED, 111 112 113 114, H, CO, M
KISSELL, LARRY, 111 112, H, NC, M
GRAYSON, ALAN, 111 113 114, H, FL, M
KOSMAS, SUZANNE, 111, H, FL, F
SCHAUER, MARK, 111, H, MI, M
MASSA, ERIC, 111, H, NY, M
KRATOVIL, FRANK, 111, H, MD, M
DRIEHAUS, STEVE, 111, H, OH, M
HIMES, JAMES, 111 112 113 114, H, CT, M
MCCLINTOCK, TOM, 111 112 113 114, H, CA, M
ROONEY, THOMAS, 111 112 113 114, H, FL, M
PAULSEN, ERIK, 111 112 113 114, H, MN, M
NYE, GLENN, 111, H, VA, M
SCHOCK, AARON, 111 112 113 114, H, IL, M
TONKO, PAUL, 111 112 113 114, H, NY, M
BURRIS, ROLAND, 111, S, IL, M
KAUFMAN, EDWARD, 111, S, DE, M
HAGAN, KAY, 111 112 113, S, NC, F
ROE, DAVID, 111 112 113 114, H, TN, M
SABLAN, GREGORIO, 111 112 113 114, H, MP, M
LUJAN, BEN, 111 112 113 114, H, NM, M
FLEMING, JOHN, 111 112 113 114, H, LA, M
LUMMIS, CYNTHIA, 111 112 113 114, H, WY, F
BENNET, MICHAEL, 111 112 113 114, S, CO, M
PIERLUISI, PEDRO, 111 112 113 114, H, PR, M
TEAGUE, HARRY, 111, H, NM, M
PINGREE, CHELLIE, 111 112 113 114, H, ME, F
CASSIDY, BILL, 111 112 113 114, H, LA, M
BOCCIERI, JOHN, 111, H, OH, M
COFFMAN, MIKE, 111 112 113 114, H, CO, M
MAFFEI, DANIEL, 111 113, H, NY, M
OLSON, PETE, 111 112 113 114, H, TX, M
JENKINS, LYNN, 111 112 113 114, H, KS, F
JOHANNS, MIKE, 111 112 113, S, NE, M
MERKLEY, JEFF, 111 112 113 114, S, OR, M
BEGICH, MARK, 111 112 113, S, AK, M
GUTHRIE, BRETT, 111 112 113 114, H, KY, M
SCHRADER, KURT, 111 112 113 114, H, OR, M
RISCH, JAMES, 111 112 113 114, S, ID, M
LUETKEMEYER, BLAINE, 111 112 113 114, H, MO, M
CAO, ANH, 111, H, LA, M
WARNER, MARK, 111 112 113 114, S, VA, M
BRIGHT, BOBBY, 111, H, AL, M
HARPER, GREGG, 111 112 113 114, H, MS, M
HEINRICH, MARTIN, 111 112 113 114, H, NM, M
AUSTRIA, STEVE, 111 112, H, OH, M
LANCE, LEONARD, 111 112 113 114, H, NJ, M
MINNICK, WALTER, 111, H, ID, M
KIRKPATRICK, ANN, 111 113 114, H, AZ, F
QUIGLEY, MIKE, 111 112 113 114, H, IL, M
GRIFFITH, PARKER, 111, H, AL, M
CHU, JUDY, 111 112 113 114, H, CA, F
FRANKEN, ALAN, 111 112 113 114, S, MN, M
LEMIEUX, GEORGE, 111, S, FL, M
OWENS, WILLIAM, 111 112 113, H, NY, M
GARAMENDI, JOHN, 111 112 113 114, H, CA, M
DEUTCH, THEODORE, 111 112 113 114, H, FL, M
CRITZ, MARK, 111 112, H, PA, M
DJOU, CHARLES, 111, H, HI, M
GOODWIN, CARTE, 111, S, WV, M
STUTZMAN, MARLIN, 111 112 113 114, H, IN, M
COONS, CHRIS, 111 112 113 114, S, DE, M
MANCHIN, JOE, 111 112 113 114, S, WV, M
REED, TOM, 111 112 113 114, H, NY, M
MARKEY, BETSY, 111, H, CO, F
LEE, CHRISTOPHER, 111, H, NY, M
THOMPSON, GLENN, 111 112 113 114, H, PA, M
MURPHY, SCOTT, 111, H, NY, M
BROWN, SCOTT, 111 112, S, MA, M
GRAVES, TOM, 111 112 113 114, H, GA, M
KIRK, PAUL, 111, S, MA, M
ELLMERS, RENEE, 112 113 114, H, NC, F
BUERKLE, ANN MARIE, 112, H, NY, F
WOMACK, STEVE, 112 113 114, H, AR, M
GOWDY, TREY, 112 113 114, H, SC, M
CANSECO, FRANCISCO, 112, H, TX, M
WEST, ALLEN, 112, H, FL, M
KEATING, WILLIAM, 112 113 114, H, MA, M
BLACK, DIANE, 112 113 114, H, TN, F
GARDNER, CORY, 112 113 114, H, CO, M
POMPEO, MIKE, 112 113 114, H, KS, M
HAYWORTH, NAN, 112, H, NY, F
GRIFFITH, H., 112 113 114, H, VA, M
FARENTHOLD, BLAKE, 112 113 114, H, TX, M
CARNEY, JOHN, 112 113 114, H, DE, M
HARRIS, ANDY, 112 113 114, H, MD, M
GIBBS, BOB, 112 113 114, H, OH, M
TIPTON, SCOTT, 112 113 114, H, CO, M
YODER, KEVIN, 112 113 114, H, KS, M
ROBY, MARTHA, 112 113 114, H, AL, F
HANABUSA, COLLEEN, 112 113, H, HI, F
GUINTA, FRANK, 112 114, H, NH, M
FLORES, BILL, 112 113 114, H, TX, M
CICILLINE, DAVID, 112 113 114, H, RI, M
SOUTHERLAND, STEVE, 112 113, H, FL, M
RIGELL, EDWARD, 112 113 114, H, VA, M
GOSAR, PAUL, 112 113 114, H, AZ, M
HURT, ROBERT, 112 113 114, H, VA, M
MEEHAN, PATRICK, 112 113 114, H, PA, M
NUNNELEE, ALAN, 112 113, H, MS, M
LANKFORD, JAMES, 112 113 114, H, OK, M
HARTZLER, VICKY, 112 113 114, H, MO, F
GIBSON, CHRISTOPHER, 112 113 114, H, NY, M
HULTGREN, RANDY, 112 113 114, H, IL, M
FINCHER, STEPHEN, 112 113 114, H, TN, M
KINZINGER, ADAM, 112 113 114, H, IL, M
WALSH, JOE, 112, H, IL, M
RIVERA, DAVID, 112, H, FL, M
RUNYAN, JON, 112 113, H, NJ, M
BENISHEK, DAN, 112 113 114, H, MI, M
NUGENT, RICHARD, 112 113 114, H, FL, M
DESJARLAIS, SCOTT, 112 113 114, H, TN, M
SCHWEIKERT, DAVID, 112 113 114, H, AZ, M
QUAYLE, BEN, 112, H, AZ, M
GRIFFIN, TIM, 112 113, H, AR, M
GRIMM, MICHAEL, 112 113, H, NY, M
HUIZENGA, BILL, 112 113 114, H, MI, M
MARINO, TOM, 112 113 114, H, PA, M
HECK, JOSEPH, 112 113 114, H, NV, M
CRAVAACK, CHIP, 112, H, MN, M
AMASH, JUSTIN, 112 113 114, H, MI, M
MULVANEY, MICK, 112 113 114, H, SC, M
HUELSKAMP, TIM, 112 113 114, H, KS, M
SEWELL, TERRI, 112 113 114, H, AL, F
FLEISCHMANN, CHARLES, 112 113 114, H, TN, M
HERRERA BEUTLER, JAIME, 112 113 114, H, WA, F
LANDRY, JEFF, 112, H, LA, M
STIVERS, STEVE, 112 113 114, H, OH, M
DOLD, BOB, 112 114, H, IL, M
DENHAM, JEFF, 112 113 114, H, CA, M
HANNA, RICHARD, 112 113 114, H, NY, M
ROKITA, TODD, 112 113 114, H, IN, M
BUCSHON, LARRY, 112 113 114, H, IN, M
BARLETTA, LOU, 112 113 114, H, PA, M
KELLY, MIKE, 112 113 114, H, PA, M
DUFFY, SEAN, 112 113 114, H, WI, M
LONG, BILLY, 112 113 114, H, MO, M
ADAMS, SANDY, 112, H, FL, F
MCKINLEY, DAVID, 112 113 114, H, WV, M
BERG, RICK, 112, H, ND, M
BROOKS, MO, 112 113 114, H, AL, M
PALAZZO, STEVEN, 112 113 114, H, MS, M
NOEM, KRISTI, 112 113 114, H, SD, F
SCHILLING, ROBERT, 112, H, IL, M
WOODALL, ROB, 112 113 114, H, GA, M
RUBIO, MARCO, 112 113 114, S, FL, M
HOEVEN, JOHN, 112 113 114, S, ND, M
CRAWFORD, ERIC, 112 113 114, H, AR, M
LABRADOR, RAUL, 112 113 114, H, ID, M
RICHMOND, CEDRIC, 112 113 114, H, LA, M
BLUMENTHAL, RICHARD, 112 113 114, S, CT, M
WEBSTER, DANIEL, 112 113 114, H, FL, M
RIBBLE, REID, 112 113 114, H, WI, M
AYOTTE, KELLY, 112 113 114, S, NH, F
HOCHUL, KATHLEEN, 112, H, NY, F
RENACCI, JAMES, 112 113 114, H, OH, M
HAHN, JANICE, 112 113 114, H, CA, F
AMODEI, MARK, 112 113 114, H, NV, M
BONAMICI, SUZANNE, 112 113 114, H, OR, F
BARBER, RON, 112 113, H, AZ, M
CURSON, DAVID, 112, H, MI, M
DELBENE, SUZAN, 112 113 114, H, WA, F
MASSIE, THOMAS, 112 113 114, H, KY, M
SCOTT, AUSTIN, 112 113 114, H, GA, M
PAUL, RAND, 112 113 114, S, KY, M
WILSON, FREDERICA, 112 113 114, H, FL, F
BASS, KAREN, 112 113 114, H, CA, F
CLARKE, HANSEN, 112, H, MI, M
JOHNSON, BILL, 112 113 114, H, OH, M
DUNCAN, JEFF, 112 113 114, H, SC, M
YOUNG, TODD, 112 113 114, H, IN, M
SCOTT, TIM, 112 113 114, H, SC, M
ROSS, DENNIS, 112 113 114, H, FL, M
JOHNSON, RON, 112 113 114, S, WI, M
TURNER, ROBERT, 112, H, NY, M
SCHATZ, BRIAN, 112 113 114, S, HI, M
PERRY, SCOTT, 113 114, H, PA, M
SINEMA, KYRSTEN, 113 114, H, AZ, F
KILDEE, DANIEL, 113 114, H, MI, M
CRAMER, KEVIN, 113 114, H, ND, M
BEATTY, JOYCE, 113 114, H, OH, F
ENYART, WILLIAM, 113, H, IL, M
DESANTIS, RON, 113 114, H, FL, M
LOWENTHAL, ALAN, 113 114, H, CA, M
VALADAO, DAVID, 113 114, H, CA, M
BERA, AMI, 113 114, H, CA, M
TAKANO, MARK, 113 114, H, CA, M
YOHO, TED, 113 114, H, FL, M
VEASEY, MARC, 113 114, H, TX, M
OROURKE, BETO, 113 114, H, TX, M
HUFFMAN, JARED, 113 114, H, CA, M
SWALWELL, ERIC, 113 114, H, CA, M
HOLDING, GEORGE, 113 114, H, NC, M
BARR, GARLAND, 113 114, H, KY, M
MEADOWS, MARK, 113 114, H, NC, M
ESTY, ELIZABETH, 113 114, H, CT, F
PITTENGER, ROBERT, 113 114, H, NC, M
DELANEY, JOHN, 113 114, H, MD, M
DAINES, STEVE, 113 114, H, MT, M
MESSER, LUKE, 113 114, H, IN, M
JEFFRIES, HAKEEM, 113 114, H, NY, M
MENG, GRACE, 113 114, H, NY, F
CARDENAS, TONY, 113 114, H, CA, M
WALORSKI, JACKIE, 113 114, H, IN, F
STEWART, CHRIS, 113 114, H, UT, M
WILLIAMS, ROGER, 113 114, H, TX, M
BENTIVOLIO, KERRY, 113, H, MI, M
FRANKEL, LOIS, 113 114, H, FL, F
LAMALFA, DOUG, 113 114, H, CA, M
WAGNER, ANN, 113 114, H, MO, F
GARCIA, JOE, 113, H, FL, M
LUJAN GRISHAM, MICHELLE, 113 114, H, NM, F
ROTHFUS, KEITH, 113 114, H, PA, M
HORSFORD, STEVEN, 113, H, NV, M
WEBER, RANDY, 113 114, H, TX, M
BUSTOS, CHERI, 113 114, H, IL, F
BRIDENSTINE, JIM, 113 114, H, OK, M
RADEL, TREY, 113, H, FL, M
SCHNEIDER, BRADLEY, 113, H, IL, M
CARTWRIGHT, MATTHEW, 113 114, H, PA, M
GABBARD, TULSI, 113 114, H, HI, F
MULLIN, MARKWAYNE, 113 114, H, OK, M
KILMER, DEREK, 113 114, H, WA, M
COTTON, TOM, 113 114, H, AR, M
NEGRETE MCLEOD, GLORIA, 113, H, CA, F
RUIZ, RAUL, 113 114, H, CA, M
GALLEGO, PETE, 113, H, TX, M
KUSTER, ANN, 113 114, H, NH, F
CASTRO, JOAQUIN, 113 114, H, TX, M
POCAN, MARK, 113 114, H, WI, M
JOYCE, DAVID, 113 114, H, OH, M
BROWNLEY, JULIA, 113 114, H, CA, F
VARGAS, JUAN, 113 114, H, CA, M
DUCKWORTH, TAMMY, 113 114, H, IL, F
KAINE, TIMOTHY, 113 114, S, VA, M
CRUZ, TED, 113 114, S, TX, M
HUDSON, RICHARD, 113 114, H, NC, M
COWAN, WILLIAM, 113, S, MA, M
NOLAN, RICHARD, 113 114, H, MN, M
WENSTRUP, BRAD, 113 114, H, OH, M
RICE, TOM, 113 114, H, SC, M
FISCHER, DEB, 113 114, S, NE, F
HEITKAMP, HEIDI, 113 114, S, ND, F
WARREN, ELIZABETH, 113 114, S, MA, F
COOK, PAUL, 113 114, H, CA, M
WALSH, JOHN, 113, S, MT, M
VELA, FILEMON, 113 114, H, TX, M
CHIESA, JEFFREY, 113, S, NJ, M
MCALLISTER, VANCE, 113, H, LA, M
BYRNE, BRADLEY, 113 114, H, AL, M
CLARK, KATHERINE, 113 114, H, MA, F
BOOKER, CORY, 113 114, S, NJ, M
JOLLY, DAVID, 113 114, H, FL, M
CLAWSON, CURTIS, 113 114, H, FL, M
NORCROSS, DONALD, 113 114, H, NJ, M
ADAMS, ALMA, 113 114, H, NC, F
BRAT, DAVID, 113 114, H, VA, M
DAVIS, RODNEY, 113 114, H, IL, M
SMITH, JASON, 113 114, H, MO, M
LEE, MIKE, 113 114, S, UT, M
KING, ANGUS, 113 114, S, ME, M
MALONEY, SEAN, 113 114, H, NY, M
BROOKS, SUSAN, 113 114, H, IN, F
KELLY, ROBIN, 113 114, H, IL, F
COLLINS, DOUG, 113 114, H, GA, M
HECK, DENNY, 113 114, H, WA, M
PETERS, SCOTT, 113 114, H, CA, M
COLLINS, CHRIS, 113 114, H, NY, M
TROTT, DAVE, 114, H, MI, M
GROTHMAN, GLENN, 114, H, WI, M
WATSON COLEMAN, BONNIE, 114, H, NJ, F
ROUZER, DAVID, 114, H, NC, M
POLIQUIN, BRUCE, 114, H, ME, M
BABIN, BRIAN, 114, H, TX, M
COSTELLO, RYAN, 114, H, PA, M
NEWHOUSE, DAN, 114, H, WA, M
EMMER, TOM, 114, H, MN, M
BEYER, DONALD, 114, H, VA, M
CURBELO, CARLOS, 114, H, FL, M
DINGELL, DEBBIE, 114, H, MI, F
MCSALLY, MARTHA, 114, H, AZ, F
HILL, FRENCH, 114, H, AR, M
ALLEN, RICK, 114, H, GA, M
LAWRENCE, BRENDA, 114, H, MI, F
ZELDIN, LEE, 114, H, NY, M
HICE, JODY, 114, H, GA, M
ABRAHAM, RALPH, 114, H, LA, M
MOOLENAAR, JOHN, 114, H, MI, M
LOVE, MIA, 114, H, UT, F
WALTERS, MIMI, 114, H, CA, F
PALMER, GARY, 114, H, AL, M
PLASKETT, STACEY, 114, H, VI, F
BUCK, KEN, 114, H, CO, M
HURD, WILL, 114, H, TX, M
WESTERMAN, BRUCE, 114, H, AR, M
COMSTOCK, BARBARA, 114, H, VA, F
BOST, MIKE, 114, H, IL, M
RUSSELL, STEVE, 114, H, OK, M
ASHFORD, BRAD, 114, H, NE, M
RATCLIFFE, JOHN, 114, H, TX, M
PERDUE, DAVID, 114, S, GA, M
MOONEY, ALEX, 114, H, WV, M
WALKER, MARK, 114, H, NC, M
LOUDERMILK, BARRY, 114, H, GA, M
MOULTON, SETH, 114, H, MA, M
AGUILAR, PETE, 114, H, CA, M
TILLIS, THOM, 114, S, NC, M
BOYLE, BRENDAN, 114, H, PA, M
TAKAI, MARK, 114, H, HI, M
SULLIVAN, DAN, 114, S, AK, M
ROUNDS, MIKE, 114, S, SD, M
DESAULNIER, MARK, 114, H, CA, M
KATKO, JOHN, 114, H, NY, M
KNIGHT, STEVE, 114, H, CA, M
HARDY, CRESENT, 114, H, NV, M
MACARTHUR, TOM, 114, H, NJ, M
TORRES, NORMA, 114, H, CA, F
GALLEGO, RUBEN, 114, H, AZ, M
ZINKE, RYAN, 114, H, MT, M
STEFANIK, ELISE, 114, H, NY, F
LIEU, TED, 114, H, CA, M
ERNST, JONI, 114, S, IA, F
SASSE, BENJAMIN, 114, S, NE, M
BLUM, ROD, 114, H, IA, M
DONOVAN, DANIEL, 114, H, NY, M
LAHOOD, DARIN, 114, H, IL, M
DAVIDSON, WARREN, 114, H, OH, M
GRAHAM, GWEN, 114, H, FL, F
JENKINS, EVAN, 114, H, WV, M
RICE, KATHLEEN, 114, H, NY, F
CARTER, BUDDY, 114, H, GA, M
BISHOP, MIKE, 114, H, MI, M
YOUNG, DAVID, 114, H, IA, M
GRAVES, GARRET, 114, H, LA, M
KELLY, TRENT, 114, H, MS, M
